C-BERJ-0;F-GES
BERJ-1970;98819
BERJ-1971;97334
BERJ-1972;95323
BERJ-1973;92768
BERJ-1974;94324
BERJ-1975;96041
BERJ-1976;95140
BERJ-1977;92402
BERJ-1978;94617
BERJ-1979;92012
BERJ-1980;92442
BERJ-1981;92693
BERJ-1982;91339
BERJ-1983;93041
BERJ-1984;88466
BERJ-1985;89578
BERJ-1986;87071
BERJ-1987;84907
BERJ-1988;83263
BERJ-1989;83407
BERJ-1990;82952
BERJ-1991;83428
BERJ-1992;83162
BERJ-1993;82517
BERJ-1994;80684
BERJ-1995;81171
BERJ-1996;80790
BERJ-1997;79432
BERJ-1998;78339
BERJ-1999;78200
BERJ-2000;76780
BERJ-2001;74767
BERJ-2002;76131
BERJ-2003;77209
BERJ-2004;74292
BERJ-2005;75189
BERJ-2006;74295
BERJ-2007;74625
BERJ-2008;75083
BERJ-2009;77381
BERJ-2010;77199
BERJ-2011;76479
BERJ-2012;79436
BERJ-2013;79526
BERJ-2014;78252
BERJ-2015;83073
BERJ-2016;80669
BERJ-2017;83270
BERJ-2018;83975
BERJ-2019;83386
BERJ-2020;91599
BERJ-2021;91962
